"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4843","Verify user cannot login with invalid credentials - User doesn't exist","tests","2026-07-01","passed","2026-07-01","","test_login","",""
"","6097","Verify user can login with valid credentials","tests","2026-07-01","passed","2026-07-01","","test_login","",""
"","4558","Verify laptop details are displayed correctly","tests","2026-07-01","passed","2026-07-01","","test_product","",""
"","6456","Verify user can register successfully","tests","2026-07-01","passed","2026-07-01","","test_registration","",""
"","4942","Verify phone details are displayed correctly","tests","2026-07-01","passed","2026-07-01","","test_product","",""
"","3104","Verify user cannot login with invalid credentials - Empty username & password","tests","2026-07-01","passed","2026-07-01","","test_login","",""
"","4678","Verify user cannot register with existed username","tests","2026-07-01","passed","2026-07-01","","test_registration","",""
"","825","Verify user can checkout successfully","tests","2026-07-01","passed","2026-07-01","","test_checkout","",""
"","5392","Verify user cannot login with invalid credentials - Wrong password","tests","2026-07-01","passed","2026-07-01","","test_login","",""
"","5287","Verify user can add product to cart","tests","2026-07-01","passed","2026-07-01","","test_cart","",""
"","3242","Verify user cannot login with invalid credentials - Wrong password","","2026-07-01","passed","2026-07-01","","","",""
"","5087","Verify user can remove product from cart","tests","2026-07-01","passed","2026-07-01","","test_cart","",""
"","413","Verify user can logout successfully","tests","2026-07-01","passed","2026-07-01","","test_logout","",""
